trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-206.58011430907678,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,0,-143.33967905623135,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-68.4060102055774,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,8,5.308006390683133,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,18,-58.197437930593026,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,23.51142005716693,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",30,0,-29.044575097981905,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-52.930754986369834,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",30,0,-60.263879072949216,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,14.390232207197547,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,3,-32.80389559565396,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",35,20,23.641874569420395,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,11,4.586497809997413,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,9,8.566909564338427,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,2,-4.180679102845126,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,11,14.344498371409975,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",35,20,25.22726415364064,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,31.457204491717928,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",30,11,33.74751162498403,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,4,28.82893388577476,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",20,0,16.28849537136418,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0.0, 'a': 0.0}",20,7,16.45026785865032,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",20,0,-20.67275939945523,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,True,"{'e': 0.0, 'a': 0.0}",30,0,14.637421473580195,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'e': 0.0, 'a': 0.0}",25,10,20.698048369410618,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0.0, 'a': 0.0}",30,0,-68.65384077649547,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
7,True,"{'e': 0.0, 'a': 0.0}",20,2,27.932080711902483,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",35,20,23.033093024641687,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",20,10,14.8649408617747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",25,2,-17.39086946048985,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
