trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.98, 'a': 0.5}",20,0,-58.20802531434186,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'e': 0.9603999999999999, 'a': 0.5}",20,0,-46.168112188355344,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,False,"{'e': 0.9411919999999999, 'a': 0.5}",20,0,-100.95115243814816,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'e': 0.9223681599999999, 'a': 0.5}",20,0,-129.38918082562404,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 0.9039207967999998, 'a': 0.5}",20,0,-92.47354467006409,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'e': 0.8858423808639998, 'a': 0.5}",25,0,-116.91442241027985,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'e': 0.8681255332467198, 'a': 0.5}",20,0,-161.67604511828247,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'e': 0.8507630225817854, 'a': 0.5}",20,0,-47.427716268704394,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'e': 0.8337477621301497, 'a': 0.5}",30,0,-222.6626086004282,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
10,False,"{'e': 0.8170728068875467, 'a': 0.5}",20,0,-146.09545468198925,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
11,False,"{'e': 0.8007313507497957, 'a': 0.5}",20,7,-107.20843410902552,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 2}",1
12,False,"{'e': 0.7847167237347998, 'a': 0.5}",25,7,-87.0048714329224,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
13,False,"{'e': 0.7690223892601038, 'a': 0.5}",20,0,-38.85497184722795,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'e': 0.7536419414749017, 'a': 0.5}",20,3,-111.22409980527806,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
15,False,"{'e': 0.7385691026454037, 'a': 0.5}",20,0,-7.942147744761165,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'e': 0.7237977205924956, 'a': 0.5}",25,3,-64.74792703926923,"{0: 16, 1: 4, 2: 0, 3: 1, 4: 1}",1
17,False,"{'e': 0.7093217661806457, 'a': 0.5}",20,0,-20.155468961391577,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'e': 0.6951353308570327, 'a': 0.5}",20,0,-113.82751426148857,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'e': 0.6812326242398921, 'a': 0.5}",35,0,-109.46155375444731,"{0: 25, 1: 1, 2: 6, 3: 2, 4: 1}",0
20,False,"{'e': 0.6676079717550942, 'a': 0.5}",20,4,-35.033692255621894,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 0}",1
21,False,"{'e': 0.6542558123199923, 'a': 0.5}",20,0,-87.28445346808122,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'e': 0.6411706960735924, 'a': 0.5}",25,0,-117.75010555313034,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
23,False,"{'e': 0.6283472821521205, 'a': 0.5}",30,0,-76.52302618664343,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
24,False,"{'e': 0.6157803365090782, 'a': 0.5}",20,0,-52.06977229228903,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'e': 0.6034647297788965, 'a': 0.5}",20,0,-37.920527229713755,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
26,False,"{'e': 0.5913954351833186, 'a': 0.5}",25,0,-77.2184397002155,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
27,False,"{'e': 0.5795675264796523, 'a': 0.5}",20,0,2.3477283029190827,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
28,False,"{'e': 0.5679761759500592, 'a': 0.5}",20,0,-72.21174459821522,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
29,False,"{'e': 0.5566166524310581, 'a': 0.5}",25,0,-116.5979856098123,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
30,False,"{'e': 0.5454843193824369, 'a': 0.5}",25,2,-72.5367523410781,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
31,False,"{'e': 0.5345746329947881, 'a': 0.5}",20,6,-37.47569694115239,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
