trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-118.89096081367741,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-218.81613034357738,"{0: 11, 1: 3, 2: 4, 3: 5, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,7,3.6583994982417343,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-157.89437547263938,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-103.28692026526177,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-122.0214113809123,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-204.31083863602117,"{0: 6, 1: 4, 2: 5, 3: 3, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",35,0,-131.53137002635768,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",30,0,-133.14812575374648,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-187.7353742508133,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,16,5.617161172000854,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-68.06080161300028,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,0,-184.98777234284188,"{0: 12, 1: 6, 2: 10, 3: 1, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-149.64902006258933,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-142.80476806820164,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-61.745812231962205,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,0,-95.06488230819672,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-84.64614772859971,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",30,0,-240.14866805311615,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,0,-140.24732913619798,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
1,True,"{'e': 0.0, 'a': 0.0}",30,0,-108.26986719899195,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
2,True,"{'e': 0.0, 'a': 0.0}",25,0,-107.61548993929358,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,True,"{'e': 0.0, 'a': 0.0}",25,0,-171.07004988424563,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,True,"{'e': 0.0, 'a': 0.0}",25,0,-162.9294453605853,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,True,"{'e': 0.0, 'a': 0.0}",20,0,-15.408212762607832,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
6,True,"{'e': 0.0, 'a': 0.0}",20,0,-76.9611746933701,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
7,True,"{'e': 0.0, 'a': 0.0}",30,0,-98.07210461590051,"{0: 14, 1: 9, 2: 7, 3: 0, 4: 0}",0
8,True,"{'e': 0.0, 'a': 0.0}",20,0,-162.51751913580037,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,True,"{'e': 0.0, 'a': 0.0}",20,0,-152.87212416050608,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,True,"{'e': 0.0, 'a': 0.0}",20,0,-129.36606681285082,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
